FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) PRIMARY/ALTERNATE TARGET DESIGNATOR; ; ;CURRENT / CURRENT;1076/013;1;A
2 M;(NU) MISSION NUMBER; ; ;CURRENT / CURRENT;1012/069;1-8;X
3 M;(NU) DAY-TIME AND MONTH TASKED ON TARGET;TOT;A;CURRENT / CURRENT;2030/041;10;AN
;(NU) DAY-TIME ON TARGET TO THE SECOND, ZULU;TOTS;B;CURRENT / CURRENT;2483/002;9;AN
4 M;(NU) NOT EARLIER THAN DAY-TIME;NET;A;CURRENT / CURRENT;2000/088;7;AN
;(NU) NOT EARLIER THAN DAY-TIME TO THE SECOND, ZULU;NETS;B;CURRENT / CURRENT;2483/003;9;AN
5 M;(NU) NOT LATER THAN DAY-TIME;NLT; ;CURRENT / CURRENT;2000/087;7;AN
6 M;(NU) TARGET POSITION NAME;NAME;A;CURRENT / CURRENT;1022/081;1-20;X
;(NU) TARGET POSITION IDENTIFIER;ID;B;CURRENT / CURRENT;1416/002;1-20;X
7 M;(NU) NON-SHIP TARGET TYPE;NON-SHIP;A;CURRENT / CURRENT;1650/006;2-6;A
;(NU) SHIP TARGET TYPE;SHIP;B;CURRENT / CURRENT;1036/011;2-6;A
8 M;(NU) MISSILE TYPE, ABBREVIATED; ; ;CURRENT / CURRENT;1407/027;1;A
9 M;(NU) NUMBER OF MISSILES; ; ;CURRENT / CURRENT;1044/323;1-3;N
10 O;(NU) TARGET PRIORITY, LITERAL; ; ;CURRENT / CURRENT;1076/011;1-5;AN
11 O;(NU) TARGET OBJECTIVE; ; ;CURRENT / CURRENT;1456/003;1-15;X
12 O;(NU) COMPONENT TARGET IDENTIFIER; ; ;CURRENT / CURRENT;1416/005;1-12;X
13 O;(NU) GEOGRAPHIC POSITION, LAT/LONG TEN THOUSANDTHS OF MINUTE;DMPIT;A;CURRENT / CURRENT;2489/001;21;ANS
;(NU) GEOGRAPHIC LOCATION, LAT/LONG, CENTISECONDS;DMPIC;B;CURRENT / CURRENT;2488/001;19;AN
;(NU) GEOGRAPHIC POSITION, LAT/LONG, THOUSANDTHS OF MINUTE;DMPIK;C;CURRENT / CURRENT;2496/001;19;ANS
;(NU) LOCATION, DECISECONDS;DMPID;D;CURRENT / CURRENT;2187/001;19;ANS
;(NU) GEOGRAPHIC POSITION, LAT/LONG, SECONDS;DMPIS;E;CURRENT / CURRENT;2024/001;15;AN
;(NU) GEOGRAPHIC POSITION, LAT/LONG, MINUTES;DMPIM;F;CURRENT / CURRENT;2023/001;11;AN
14 C;(NU) GEODETIC DATUM; ; ;CURRENT / CURRENT;1195/001;3-25;X
15 O;(NU) TERMINAL AREA MODEL IDENTIFICATION;TAMID; ;CURRENT / CURRENT;1012/317;1-24;X
* 16 O;(NU) AIMPOINT SUFFIX; ; ;CURRENT / CURRENT;1012/244;2;AN
