FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) SHIP NAME;SHIP;A;CURRENT / CURRENT;1022/049;1-38;X
;(NU) UNIT CALL SIGN;CS;B;CURRENT / CURRENT;1129/033;1-38;X
;(NU) UNIT DESIGNATOR;UNIT;C;CURRENT / CURRENT;1028/043;1-24;X
2 O;(NU) CONTACT NAME; ; ;CURRENT / CURRENT;1022/007;1-20;X
3 O;(NU) RANK OR POSITION; ; ;CURRENT / CURRENT;1046/002;1-16;X
4 M;(NU) MULTILINK COORDINATION DUTY; ; ;CURRENT / CURRENT;1109/003;3-4;A
* 5 M;(NU) NON-SECURE TELEPHONE NUMBER, INTERNATIONAL;TEL;A;CURRENT / CURRENT;1361/012;3-30;X
;(NU) SECURE TELEPHONE NUMBER, INTERNATIONAL;SECTEL;B;CURRENT / CURRENT;1361/013;3-30;X
;(NU) NON-SECURE TACTICAL TELEPHONE NUMBER;TELTAC;C;CURRENT / CURRENT;1361/014;4-25;X
;(NU) SECURE TACTICAL TELEPHONE NUMBER;SECTAC;D;CURRENT / CURRENT;1361/015;4-25;X
;(NU) RADIO FREQUENCY;FRQ;E;CURRENT / CURRENT;2064/001;3-14;ANS
;(NU) FREQUENCY DESIGNATOR;FRQDES;F;CURRENT / CURRENT;1396/001;1-8;AN
;(NU) ELECTRONIC MAIL ADDRESS;EMAIL;G;CURRENT / CURRENT;1183/007;1-60;X
;(NU) SECURE ELECTRONIC MAIL ADDRESS;SMAIL;H;CURRENT / CURRENT;1183/009;1-60;X
