FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) CONTACT SERIAL NUMBER; ; ;CURRENT / CURRENT;1012/067;1-3;N
2 M;(NU) UNIT; ; ;CURRENT / CURRENT;1022/057;1-30;X
3 M;(NU) LOCATING REPORT NUMBER; ;A;CURRENT / CURRENT;2296/001;3-4;AN
;(NU) NOT REPORTED IN FLIGHT; ;B;CURRENT / CURRENT;1449/001;4;A
4 M;(NU) NAME OF SHIP CLASS;CL;A;CURRENT / CURRENT;1022/035;1-30;X
;(NU) UNIT; ;B;CURRENT / CURRENT;1022/057;1-30;X
5 M;(NU) SHIP TYPE CATEGORY; ; ;CURRENT / CURRENT;1036/008;2-5;A
6 M;(NU) FLAG; ; ;CURRENT / CURRENT;1026/003;2;A
7 M;(NU) CONTACT PHOTO STATUS; ; ;CURRENT / CURRENT;1450/001;3;A
8 O;(NU) PENNANT NUMBER; ; ;CURRENT / CURRENT;1012/046;1-10;AN
9 O;(NU) SHIP CONTROL NUMBER; ; ;CURRENT / CURRENT;2282/001;6;AN
10 O;(NU) NATO SURFACE CONTACT DESIGNATOR;DESIG;A;CURRENT / CURRENT;2154/001;4;AN
;(NU) DISCRETE IDENTIFIER; ;B;CURRENT / CURRENT;1625/025;4;N
11 O;(NU) VESSEL SUSPICION CODE; ; ;CURRENT / CURRENT;1698/002;2;N
