FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) FLAG; ;A;CURRENT / CURRENT;1026/003;2;A
;(NU) UNIT IDENTIFICATION CODE (UIC);UIC;B;CURRENT / CURRENT;2141/001;7-9;AN
2 M;(NU) NAVAL SHIP TYPE; ; ;CURRENT / CURRENT;1036/003;2-4;A
3 M;(NU) SHIP NAME; ; ;CURRENT / CURRENT;1022/049;1-38;X
4 M;(NU) GEOGRAPHIC POSITION, LAT/LONG, MINUTES, VERIFIED; ;A;CURRENT / CURRENT;2043/001;14;ANS
;(NU) PLACE NAME;PLACE;B;CURRENT / CURRENT;1022/170;1-20;X
;(NU) TRUE BEARING AND DISTANCE IN NM FROM REFERENCE POINT; ;C;CURRENT / CURRENT;2016/001;6-46;X
5 M;(NU) DAY-TIME OF POSITION, VERIFIED; ;A;CURRENT / CURRENT;2013/007;8;AN
;(NU) DATE-TIME MONTH, VERIFIED; ;B;CURRENT / CURRENT;2032/001;11;AN
;(NU) LOCATING DAY-MONTH NAME; ;C;CURRENT / CURRENT;2067/004;5;AN
6 M;(NU) COURSE IN DEGREES TRUE AND SPEED IN KNOTS; ;A;CURRENT / CURRENT;2025/001;5-6;NS
;(NU) NAVAL FORCE MOVEMENT STATUS; ;B;CURRENT / CURRENT;1341/002;3-6;A
