FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) OBSTRUCTION TYPE; ; ;CURRENT / CURRENT;1270/001;4-8;A
2 O;(NU) NUMBER OF OBSTRUCTIONS; ; ;CURRENT / CURRENT;1044/319;1-2;N
* 3 O;(NU) GEOGRAPHIC POSITION, UTM 10-METRE; ;A;CURRENT / CURRENT;2086/001;13;AN
;(NU) GEOGRAPHIC POSITION, UTM 100-METRE; ;B;CURRENT / CURRENT;2087/001;11;AN
;(NU) GEOGRAPHIC POSITION, LAT/LONG, SECONDS; ;C;CURRENT / CURRENT;2024/001;15;AN
* 4 O;(NU) APPROXIMATE HEIGHT ABOVE GROUND IN METRES; ;A;CURRENT / CURRENT;1651/007;1-3;N
;(NU) HEIGHT IN FEET;FT;B;CURRENT / CURRENT;1581/001;1-9;N
* 5 O;(NU) DEPTH BELOW SURFACE IN METRES; ; ;CURRENT / CURRENT;1247/007;1-4;N
* 6 O;(NU) WIDTH IN METRES, 1-99999; ; ;CURRENT / CURRENT;1658/006;1-5;N
* 7 O;(NU) LENGTH IN METRES, 1-99999; ; ;CURRENT / CURRENT;1657/007;1-5;N
