FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) UNIT DESIGNATION NAME; ; ;CURRENT / CURRENT;1022/039;1-15;ANS
2 M;(NU) UNIT SIZE INDICATOR; ; ;CURRENT / CURRENT;1045/004;1-7;A
3 M;(NU) GEOGRAPHICAL ENTITY; ; ;CURRENT / CURRENT;1026/001;2;A
4 M;(NU) UNIT ROLE INDICATOR CODE 'A'; ; ;CURRENT / CURRENT;1311/002;2-6;A
5 M;(NU) UNIT ROLE INDICATOR CODE 'B'; ; ;CURRENT / CURRENT;1311/003;2-6;A
6 M;(NU) UNIT ROLE INDICATOR CODE 'C'; ; ;CURRENT / CURRENT;1311/004;2-6;A
7 M;(NU) UNIT ROLE INDICATOR CODE 'D'; ; ;CURRENT / CURRENT;1311/005;2-6;A
8 M;(NU) HIGHER FORMATION NAME; ; ;CURRENT / CURRENT;1022/040;1-15;ANS
9 M;(NU) ARMED SERVICE; ;A;CURRENT / CURRENT;1107/001;1;A
;(NU) CIVILIAN AGENCY CODE; ;B;CURRENT / CURRENT;1507/001;2-8;A
10 C;(NU) UNIT IDENTIFICATION CODE (UIC); ; ;CURRENT / CURRENT;2141/001;7-9;AN
