FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) DAY-TIME OF TARGET SOLUTION, VERIFIED; ;A;CURRENT / CURRENT;2013/045;8;AN
;(NU) DAY-TIME OF TARGET SOLUTION; ;B;CURRENT / CURRENT;2000/050;7;AN
2 M;(NU) LAUNCH PLATFORM POSITION, LAT/LONG, MINUTES, VERIFIED; ;A;CURRENT / CURRENT;2043/027;14;ANS
;(NU) GEOGRAPHIC POSITION, LAT/LONG, MINUTES; ;B;CURRENT / CURRENT;2023/001;11;AN
3 M;(NU) LAUNCH PLATFORM ALTITUDE IN HUNDREDS OF FEET; ;A;CURRENT / CURRENT;2164/002;6;AN
;(NU) FLIGHT LEVEL; ;B;CURRENT / CURRENT;2129/001;5;AN
4 M;(NU) TARGET BEARING, DEGREES/TENTHS TRUE, MAGNETIC, GRID OR REL; ; ;CURRENT / CURRENT;2263/002;4-6;ANS
5 M;(NU) TARGET RANGE, NAUTICAL MILES; ; ;CURRENT / CURRENT;2272/002;3-7;ANS
6 O;(NU) VESSEL TYPE; ; ;CURRENT / CURRENT;1036/001;2-4;A
7 O;(NU) SENSOR PLATFORM; ; ;CURRENT / CURRENT;1473/002;3-4;A
* 8 O;(NU) ACOUSTIC SENSOR; ; ;CURRENT / CURRENT;1434/005;2-6;AN
