FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) DAY-TIME START; ;A;CURRENT / CURRENT;2000/014;7;AN
;(NU) DAY-TIME AND MONTH OF START; ;B;CURRENT / CURRENT;2030/003;10;AN
;(NU) DTG OF START; ;C;CURRENT / CURRENT;2033/029;14;AN
2 M;(NU) DAY-TIME STOP; ;A;CURRENT / CURRENT;2000/015;7;AN
;(NU) DAY-TIME AND MONTH OF STOP; ;B;CURRENT / CURRENT;2030/004;10;AN
;(NU) STOP TIME QUALIFIER; ;C;CURRENT / CURRENT;1220/008;3-7;A
;(NU) DTG OF STOP; ;D;CURRENT / CURRENT;2033/030;14;AN
3 C;(NU) DAY-TIME; ;A;CURRENT / CURRENT;2000/001;7;AN
;(NU) DAY-TIME AND MONTH; ;B;CURRENT / CURRENT;2030/001;10;AN
;(NU) DTG; ;C;CURRENT / CURRENT;2033/001;14;AN
