FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) LASER CORRELATION CODE;LC;A;CURRENT / CURRENT;1012/254;4;N
;(NU) DATA LINK FREQUENCY CODE;DL;B;CURRENT / CURRENT;1396/004;1-2;AN
2 O;(NU) GUIDANCE FREQUENCY IN MEGAHERTZ;FREQ;A;CURRENT / CURRENT;1068/011;1-8;NS
;(NU) GUIDANCE FREQUENCY DESIGNATOR;DESIG;B;CURRENT / CURRENT;1396/007;1-8;AN
3 O;(NU) CONTACT CALL SIGN; ; ;CURRENT / CURRENT;1129/031;1-20;X
4 O;(NU) LINK 16 ABBREVIATED CALL SIGN; ; ;CURRENT / CURRENT;1129/041;4;AN
5 O;(NU) PRIMARY FREQUENCY IN MEGAHERTZ, .0000001 - 99999999;PFREQ;A;CURRENT / CURRENT;1068/013;1-8;NS
;(NU) PRIMARY FREQUENCY DESIGNATOR;PDESIG;B;CURRENT / CURRENT;1396/002;1-8;AN
6 O;(NU) SECONDARY FREQUENCY IN MEGAHERTZ, .0000001 - 99999999;SFREQ;A;CURRENT / CURRENT;1068/014;1-8;NS
;(NU) SECONDARY FREQUENCY DESIGNATOR;SDESIG;B;CURRENT / CURRENT;1396/003;1-8;AN
