FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) Q-ROUTE SEGMENT; ; ;CURRENT / CURRENT;2233/001;7-14;ANS
2 M;(NU) MINE COUNTERMEASURES OPERATION STANDARD LETTER SUFFIXES; ; ;CURRENT / CURRENT;1598/001;4-15;AS
3 O;(NU) MCM OPERATION STAGE FIRST NUMBER; ; ;CURRENT / CURRENT;1012/182;2-3;AN
4 O;(NU) MCM OPERATION STAGE SECOND NUMBER; ; ;CURRENT / CURRENT;1012/206;2-3;AN
5 O;(NU) PERCENTAGE OF TASK COMPLETED; ; ;CURRENT / CURRENT;1064/005;2;N
6 O;(NU) DATE-TIME MONTH, VERIFIED; ; ;CURRENT / CURRENT;2032/001;11;AN
7 O;(NU) AGGREGATE ACTUATION WIDTH IN METRES OR YARDS; ; ;CURRENT / CURRENT;2347/002;4-5;AN
8 O;(NU) SWEEP OR DETECTION WIDTH IN METRES OR YARDS; ; ;CURRENT / CURRENT;2347/005;4-5;AN
9 O;(NU) SWEEP OR DETECTION PROBABILITY; ; ;CURRENT / CURRENT;1064/027;4;NS
10 O;(NU) TRACK SPACING IN METRES OR YARDS; ; ;CURRENT / CURRENT;2347/003;4-5;AN
11 O;(NU) SWEPT DEPTH, METRES, VERIFIED; ; ;CURRENT / CURRENT;2217/002;3-5;AN
12 O;(NU) STANDARD DEVIATION IN METRES OR YARDS; ; ;CURRENT / CURRENT;2347/004;4-5;AN
* 13 O;(NU) NUMBER OF RUNS PER TRACK; ; ;CURRENT / CURRENT;2234/001;6-8;ANS
