FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) GEOGRAPHIC POSITION, LAT/LONG, MINUTES, VERIFIED; ;A;CURRENT / CURRENT;2043/001;14;ANS
;(NU) GEOGRAPHIC POSITION, LAT/LONG, SECONDS, VERIFIED; ;B;CURRENT / CURRENT;2044/001;18;ANS
;(NU) GEOGRAPHIC POSITION, LAT/LONG, 1/10 SECOND, VERIFIED; ;C;CURRENT / CURRENT;2200/001;22;ANS
;(NU) VERIFIED TRUE BEARING AND DISTANCE FROM REF POINT; ;D;CURRENT / CURRENT;2202/001;11-36;ANBS
;(NU) Q-ROUTE POSITION;POSIT;E;CURRENT / CURRENT;2203/001;7-13;ANS
;(NU) GEOGRAPHIC POSITION, LAT/LONG, 1/1000 MINUTE, VERIFIED; ;F;CURRENT / CURRENT;2201/001;22;ANS
;(NU) GEOGRAPHIC POSITION, UTM 1-METRE; ;G;CURRENT / CURRENT;2089/001;15;AN
;(NU) GEOGRAPHIC POSITION, UTM 10-METRE; ;H;CURRENT / CURRENT;2086/001;13;AN
;(NU) GEOGRAPHIC POSITION, UTM 100-METRE; ;I;CURRENT / CURRENT;2087/001;11;AN
;(NU) GEOGRAPHIC POSITION, UTM 1,000-METRE; ;J;CURRENT / CURRENT;2088/001;9;AN
;(NU) GEOGRAPHIC POSITION, GEOREF, MINUTE; ;K;CURRENT / CURRENT;2017/001;8;AN
;(NU) GEOGRAPHIC POSITION, GEOREF, CENTIMINUTE; ;L;CURRENT / CURRENT;2018/001;12;AN
;(NU) GEOGRAPHIC POSITION, GEOREF, ABBREVIATED, MINUTE; ;M;CURRENT / CURRENT;2019/001;6;AN
;(NU) GEOGRAPHIC POSITION, GEOREF, ABBREVIATED, CENTIMINUTE; ;N;CURRENT / CURRENT;2020/001;10;AN
2 M;(NU) DAY-TIME AT ROUTE POSITION, VERIFIED; ; ;CURRENT / CURRENT;2013/030;8;AN
* 3 M;(NU) VERIFIED COURSE AND SPEED; ;A;CURRENT / CURRENT;2119/002;11-12;ANS
;(NU) COURSE AND SPEED, WITH DECIMAL PLACES, VERIFIED;COSPDEC;B;CURRENT / CURRENT;2205/001;11-16;ANS
* 4 M;(NU) VERIFIED DURATION IN HOURS; ;A;CURRENT / CURRENT;2125/001;4-7;ANS
;(NU) NON-DISCRETE INDICATOR; ;B;CURRENT / CURRENT;1084/001;2-11;AB
