FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) OBJECTIVE OF MINEFIELD; ; ;CURRENT / CURRENT;1160/004;2-4;A
2 M;(NU) CLASS NAME OF THE PRIMARY SHIP TARGET; ; ;CURRENT / CURRENT;1022/209;1-38;X
3 M;(NU) SPEED OF PRIMARY TARGET, KNOTS; ; ;CURRENT / CURRENT;2265/010;4-7;ANS
4 M;(NU) CLASS NAME OF THE SECONDARY SHIP TARGET; ; ;CURRENT / CURRENT;1022/210;1-38;X
5 M;(NU) SPEED OF SECONDARY TARGET, KNOTS; ; ;CURRENT / CURRENT;2265/011;4-7;ANS
6 M;(NU) LEVEL OF EXPECTED MCM; ; ;CURRENT / CURRENT;1213/001;4-8;A
7 O;(NU) MMOE SIMPLE INITIAL THREAT PROBABILITY; ; ;CURRENT / CURRENT;1064/029;3;NS
8 O;(NU) AVERAGE NUMBER OF CASUALTIES; ; ;CURRENT / CURRENT;2236/001;4-6;AN
9 O;(NU) MMOE SUSTAINED THREAT PROBABILITY; ; ;CURRENT / CURRENT;1064/030;3;NS
10 O;(NU) PLANNED SUSTAINED THREAT OF MINEFIELD IN DAYS; ; ;CURRENT / CURRENT;1055/008;1-3;N
11 O;(NU) EXPECTED NUMBER OF TRANSITORS; ; ;CURRENT / CURRENT;1044/193;1-4;N
