FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) RECOMPRESSION CHAMBER TYPE; ; ;CURRENT / CURRENT;1622/001;3-12;AB
2 M;(NU) RECOMPRESSION CHAMBER GAS COMPOSITION; ; ;CURRENT / CURRENT;1605/001;3-15;AB
3 M;(NU) RECOMPRESSION CHAMBER PATIENT CAPACITY; ; ;CURRENT / CURRENT;1044/229;1-2;N
4 M;(NU) GEOGRAPHIC POSITION, LAT/LONG, MINUTES; ;A ;CURRENT / CURRENT;2023/001;11;AN
;(NU) PLACE NAME;PLACE;B ;CURRENT / CURRENT;1022/170;1-20;X
;(NU) GEOGRAPHIC POSITION, UTM 10-METRE; ;C ;CURRENT / CURRENT;2086/001;13;AN
;(NU) GEOGRAPHIC POSITION, GEOREF, CENTIMINUTE; ;D ;CURRENT / CURRENT;2018/001;12;AN
;(NU) BEARING AND DISTANCE FROM REFERENCE POINT;BND;E ;CURRENT / CURRENT;2157/001;9-54;ANBS
;(NU) SHIP NAME;SHIP;F ;CURRENT / CURRENT;1022/049;1-38;X
5 M;(NU) NOTICE AND PREPARATION TIME IN HOURS; ; ;CURRENT / CURRENT;1047/023;2;N
6 M;(NU) OXYGEN PERCENTAGE; ; ;CURRENT / CURRENT;1064/033;1-3;N
7 M;(NU) NITROGEN PERCENTAGE; ; ;CURRENT / CURRENT;1064/032;1-2;N
8 M;(NU) HELIUM PERCENTAGE; ; ;CURRENT / CURRENT;1064/019;1-2;N
