FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) GEOGRAPHIC POSITION, LAT/LONG, THOUSANDTHS OF MINUTE;GEOK;A;CURRENT / CURRENT;2496/001;19;ANS
;(NU) LOCATION, DECISECONDS;LATDS;B;CURRENT / CURRENT;2187/001;19;ANS
;(NU) GEOGRAPHIC POSITION, LAT/LONG, SECONDS;LATS;C;CURRENT / CURRENT;2024/001;15;AN
;(NU) GEOGRAPHIC POSITION, LAT/LONG, MINUTES;LATM;D;CURRENT / CURRENT;2023/001;11;AN
;(NU) GEOGRAPHIC POSITION, UTM 10-METRE;UTMT;E;CURRENT / CURRENT;2086/001;13;AN
;(NU) GEOGRAPHIC POSITION, UTM 100-METRE;UTMO;F;CURRENT / CURRENT;2087/001;11;AN
;(NU) GEOGRAPHIC POSITION, LAT/LONG, 1/10 SECOND, VERIFIED;VGEOT;G;CURRENT / CURRENT;2200/001;22;ANS
2 O;(NU) TARGET POSITION NAME;NAME;A;CURRENT / CURRENT;1022/081;1-20;X
;(NU) TARGET POSITION IDENTIFIER;ID;B;CURRENT / CURRENT;1416/002;1-20;X
3 O;(NU) RADIUS, IN, FT, YD, KF, SM, NM, MM, CM, M, KM, HM;RAD;A;CURRENT / CURRENT;2490/001;2-6;AN
;(NU) WIDTH, IN, FT, YD, KF, SM, NM, MM, CM, M, KM, HM;WDTH;B;CURRENT / CURRENT;2491/001;2-7;ANS
;(NU) ELLIPTICAL AREA, DIMENSIONS AND MAJOR AXIS ORIENTATION;ELP;C;CURRENT / CURRENT;2494/001;11-21;ANS
4 O;(NU) TARGET ELEVATION; ; ;CURRENT / CURRENT;2492/003;2-7;ANS
5 M;(NU) GEODETIC DATUM; ; ;CURRENT / CURRENT;1195/001;3-25;X
* 6 O;(NU) GEOGRAPHIC POSITION, LAT/LONG, THOUSANDTHS OF MINUTE;GEOK;A;CURRENT / CURRENT;2496/001;19;ANS
;(NU) LOCATION, DECISECONDS;LATDS;B;CURRENT / CURRENT;2187/001;19;ANS
;(NU) GEOGRAPHIC POSITION, LAT/LONG, SECONDS;LATS;C;CURRENT / CURRENT;2024/001;15;AN
;(NU) GEOGRAPHIC POSITION, LAT/LONG, MINUTES;LATM;D;CURRENT / CURRENT;2023/001;11;AN
;(NU) GEOGRAPHIC POSITION, UTM 10-METRE;UTMT;E;CURRENT / CURRENT;2086/001;13;AN
;(NU) GEOGRAPHIC POSITION, UTM 100-METRE;UTMO;F;CURRENT / CURRENT;2087/001;11;AN
;(NU) GEOGRAPHIC POSITION, LAT/LONG, 1/10 SECOND, VERIFIED;VGEOT;G;CURRENT / CURRENT;2200/001;22;ANS
