FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) LAST NAME; ; ;CURRENT / CURRENT;1022/255;1-54;X
2 M;(NU) FIRST NAME(S); ; ;CURRENT / CURRENT;1022/256;1-54;X
3 M;(NU) NATIONAL MILITARY RANK; ; ;CURRENT / CURRENT;1046/003;2-9;ANB
4 M;(NU) DATE OF BIRTH, DDMMYYYY; ;A;CURRENT / CURRENT;2052/012;8;N
;(NU) AGE; ;B;CURRENT / CURRENT;1044/357;1-3;N
5 M;(NU) GENDER, ABBREVIATED; ; ;CURRENT / CURRENT;1286/013;1;A
6 O;(NU) ETHNIC GROUP; ; ;CURRENT / CURRENT;1646/001;1-54;X
7 O;(NU) BELIEF OR RELIGION; ; ;CURRENT / CURRENT;1016/002;1-54;X
8 M;(NU) PERSONAL IDENTIFICATION NUMBER; ; ;CURRENT / CURRENT;1012/230;1-20;X
9 M;(NU) PW INTERROGATION SERIAL NUMBER; ; ;CURRENT / CURRENT;1012/231;27;ANS
10 M;(NU) INTERROGATOR LAST NAME; ; ;CURRENT / CURRENT;1022/395;1-54;ANS
11 M;(NU) MILITARY RANK OR RATE AND RATING; ; ;CURRENT / CURRENT;1483/001;3-5;ANS
12 M;(NU) LANGUAGE USED; ; ;CURRENT / CURRENT;1647/002;3-26;ABS
13 M;(NU) REPORT ATTACHED; ; ;CURRENT / CURRENT;1027/071;1;A
