FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) RADIO FREQUENCY; ;A;CURRENT / CURRENT;2064/001;3-14;ANS
;(NU) FREQUENCY BAND; ;B;CURRENT / CURRENT;1264/001;3-6;AS
2 O;(NU) PULSE REPETITION FREQUENCY; ; ;CURRENT / CURRENT;2177/001;4-14;ANS
3 O;(NU) PULSE REPETITION INTERVAL IN MICROSECONDS; ; ;CURRENT / CURRENT;2176/001;4-14;ANS
4 O;(NU) PULSE WIDTH; ; ;CURRENT / CURRENT;2175/001;3-6;ANS
5 O;(NU) SCAN RATE (HZ); ;A;CURRENT / CURRENT;2026/001;3-7;ANS
;(NU) SCAN RATE (SPR); ;B;CURRENT / CURRENT;2008/001;4-8;ANS
;(NU) SCAN RATE (RPM); ;C;CURRENT / CURRENT;2174/002;4-6;ANS
6 O;(NU) SCAN TYPE; ; ;CURRENT / CURRENT;1105/001;1-4;A
7 O;(NU) EMISSION INTERCEPT DURATION; ; ;CURRENT / CURRENT;2095/001;9;AN
8 O;(NU) PRF VARIATION; ; ;CURRENT / CURRENT;1260/001;4-5;A
