FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) MORE THAN ONE COLUMN INVOLVED IN MOVEMENT; ; ;CURRENT / CURRENT;1359/032;1;A
2 C;(NU) OPERATION CODEWORD; ; ;CURRENT / CURRENT;1020/001;1-32;AB
3 C;(NU) COLUMN/ROUTE DETAILS; ; ;CURRENT / CURRENT;1357/029;1-68;X
4 C;(NU) POSITION IDENTIFYING NUMBER; ; ;CURRENT / CURRENT;1012/300;1-3;N
5 C;(NU) TIME GAP; ; ;CURRENT / CURRENT;2041/006;4;N
6 M;(NU) UNIT DESIGNATOR; ; ;CURRENT / CURRENT;1028/043;1-24;X
7 M;(NU) UNIT SIZE INDICATOR; ; ;CURRENT / CURRENT;1045/004;1-7;A
8 M;(NU) HIGHER FORMATION NAME; ; ;CURRENT / CURRENT;1022/040;1-15;ANS
9 C;(NU) CODE NAME; ; ;CURRENT / CURRENT;1022/096;1-20;X
10 C;(NU) ALERT STATUS; ; ;CURRENT / CURRENT;1798/001;1-15;X
11 C;(NU) GROUPING; ; ;CURRENT / CURRENT;1864/005;1-68;X
12 C;(NU) PRECAUTIONARY MEASURE; ; ;CURRENT / CURRENT;1864/006;1-68;X
13 M;(NU) EARLIEST STARTING TIME;ESTIME;A;CURRENT / CURRENT;2033/065;14;AN
;(NU) LATEST RELEASE TIME;LRTIME;B;CURRENT / CURRENT;2033/066;14;AN
14 C;(NU) EXECUTION ON CALL; ; ;CURRENT / CURRENT;1359/033;1;A
15 C;(NU) MOVEMENT PRIORITY; ; ;CURRENT / CURRENT;1076/015;5-7;A
16 C;(NU) PRIORITY OF MOVE ON ROUTE; ; ;CURRENT / CURRENT;1076/016;5-7;A
17 C;(NU) ARRIVAL SEQUENCE; ; ;CURRENT / CURRENT;1494/005;1-20;X
18 M;(NU) NUMBER AND TYPE OF WHEELED VEHICLES; ; ;CURRENT / CURRENT;2510/002;3-35;X
19 M;(NU) NUMBER AND TYPE OF TRACKED VEHICLES; ; ;CURRENT / CURRENT;2510/003;3-35;X
