FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) DAY-TIME OF RENDEZVOUS; ;A;CURRENT / CURRENT;2000/073;7;AN
;(NU) DAY-TIME OF RENDEZVOUS, VERIFIED; ;B;CURRENT / CURRENT;2013/063;8;AN
2 M;(NU) MONTH NAME; ; ;CURRENT / CURRENT;1004/001;3;A
3 M;(NU) GEOGRAPHIC POSITION, LAT/LONG, MINUTES; ;A;CURRENT / CURRENT;2023/001;11;AN
;(NU) GEOGRAPHIC POSITION, LAT/LONG, MINUTES, VERIFIED; ;B;CURRENT / CURRENT;2043/001;14;ANS
;(NU) GEOGRAPHIC POSITION, GEOREF, MINUTE; ;C;CURRENT / CURRENT;2017/001;8;AN
4 M;(NU) SHIP NAME; ;A;CURRENT / CURRENT;1022/049;1-38;X
;(NU) NAVAL TASK DESIGNATOR;NTD;B;CURRENT / CURRENT;2143/002;3-15;ANS
;(NU) UNIT SUPPORTED;UNITSPDT;C;CURRENT / CURRENT;1028/017;1-20;X
;(NU) MISSION NUMBER;MSNNO;D;CURRENT / CURRENT;1012/069;1-8;X
5 O;(NU) FLIGHT LEVEL; ;A;CURRENT / CURRENT;2129/001;5;AN
;(NU) ALTITUDE IN HUNDREDS OF FEET; ;B;CURRENT / CURRENT;1255/001;3;N
