FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) RENDEZVOUS/BREAKUP ACTIVITY TYPE; ; ;CURRENT / CURRENT;1299/019;3;A
2 M;(NU) GEOGRAPHIC POSITION, LAT/LONG, MINUTES;LATM;A;CURRENT / CURRENT;2023/001;11;AN
;(NU) GEOGRAPHIC POSITION, LAT/LONG, 1/10 SECOND, VERIFIED;VGEOT;B;CURRENT / CURRENT;2200/001;22;ANS
;(NU) GEOGRAPHIC POSITION, GEOREF, MINUTE;GEOREFM;C;CURRENT / CURRENT;2017/001;8;AN
;(NU) POSITION, TRUE BEARING AND RANGE IN NM;BAR;D;CURRENT / CURRENT;2281/001;7-28;X
;(NU) LOCATION NAME;NAME;E;CURRENT / CURRENT;1022/004;1-20;X
;(NU) GEOGRAPHIC POSITION, UTM ABBREVIATED 10-METRE;AUTMT;F;CURRENT / CURRENT;2128/001;10;AN
;(NU) GEOGRAPHIC POSITION, UTM ABBREVIATED 100-METRE;AUTMO;G;CURRENT / CURRENT;2126/001;8;AN
3 M;(NU) ALTITUDE IN HUNDREDS OF FEET, 0-999;ALT;A;CURRENT / CURRENT;1255/014;1-3;N
;(NU) FLIGHT LEVEL IN HUNDREDS OF FEET;FL;B;CURRENT / CURRENT;1255/012;3;N
4 M;(NU) RELATIVE AIRCRAFT ARRIVAL TIME;REL;A;CURRENT / CURRENT;2482/003;6;ANS
;(NU) DAY-TIME OF ARRIVAL;ARRV;B;CURRENT / CURRENT;2000/002;7;AN
5 M;(NU) RENDEZVOUS LEADER INDICATOR; ; ;CURRENT / CURRENT;1359/021;1;A
6 M;(NU) RENDEZVOUS CALL SIGN;CS;A;CURRENT / CURRENT;1129/036;1-12;X
;(NU) RENDEZVOUS AIRCRAFT MISSION NUMBER;MN;B;CURRENT / CURRENT;1012/242;1-12;X
7 M;(NU) PRIMARY FREQUENCY IN MEGAHERTZ, .0000001 - 99999999;PFREQ;A;CURRENT / CURRENT;1068/013;1-8;NS
;(NU) PRIMARY FREQUENCY DESIGNATOR;PDESIG;B;CURRENT / CURRENT;1396/002;1-8;AN
8 O;(NU) SECONDARY FREQUENCY IN MEGAHERTZ, .0000001 - 99999999;SFREQ;A;CURRENT / CURRENT;1068/014;1-8;NS
;(NU) SECONDARY FREQUENCY DESIGNATOR;SDESIG;B;CURRENT / CURRENT;1396/003;1-8;AN
9 O;(NU) RENDEZVOUS TACAN CHANNEL; ; ;CURRENT / CURRENT;1012/292;1-4;AN
10 O;(NU) LINK 16 ABBREVIATED CALL SIGN; ; ;CURRENT / CURRENT;1129/041;4;AN
