FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) PRIMARY/ALTERNATE TARGET DESIGNATOR; ; ;CURRENT / CURRENT;1076/013;1;A
2 M;(NU) MISSION PRIORITY;PRI; ;CURRENT / CURRENT;1076/002;1;N
3 O;(NU) DAY-TIME AND MONTH OVER TARGET; ; ;CURRENT / CURRENT;2030/043;10;AN
4 C;(NU) NOT EARLIER THAN DAY-TIME AND MONTH;NET;A;CURRENT / CURRENT;2030/046;10;AN
;(NU) NOT EARLIER THAN DAY-TIME TO THE SECOND, ZULU;NETS;B;CURRENT / CURRENT;2483/003;9;AN
5 C;(NU) NOT LATER THAN DAY-TIME;NLT;A;CURRENT / CURRENT;2000/087;7;AN
;(NU) NOT LATER THAN DAY-TIME TO THE SECOND, ZULU;NLTS;B;CURRENT / CURRENT;2483/004;9;AN
6 M;(NU) DTG OF LATEST TIME OF INTELLIGENCE VALUE;LTIOV; ;CURRENT / CURRENT;2033/003;14;AN
7 M;(NU) RECONNAISSANCE MISSION TYPE; ; ;CURRENT / CURRENT;1285/030;2-5;A
8 M;(NU) TYPE OF RECONNAISSANCE/SURVEILLANCE COVERAGE; ; ;CURRENT / CURRENT;1795/001;2-8;A
9 O;(NU) SENSOR TYPE; ; ;CURRENT / CURRENT;1677/007;2;AN
10 C;(NU) IMAGE QUALIFIER;IMQ; ;CURRENT / CURRENT;1677/006;1-2;A
11 M;(NU) IMAGERY COVERAGE EXTENT AND MODE;CM; ;CURRENT / CURRENT;1677/004;1;A
12 M;(NU) RECONNAISSANCE MISSION PURPOSE; ; ;CURRENT / CURRENT;1435/001;1;A
13 M;(NU) TYPE OF INTELLIGENCE TASK; ; ;CURRENT / CURRENT;1285/028;3;A
14 O;(NU) COMPONENT TARGET IDENTIFIER; ; ;CURRENT / CURRENT;1416/005;1-12;X
15 M;(NU) TARGET CATEGORY CODE; ; ;CURRENT / CURRENT;1309/002;2;N
* 16 M;(NU) ESSENTIAL ELEMENTS OF INFORMATION (EEI) OF TARGET CATEGORY; ; ;CURRENT / CURRENT;1802/001;2-6;ANS
