FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) GEOGRAPHIC POSITION, LAT/LONG, MINUTES; ;A;CURRENT / CURRENT;2023/001;11;AN
;(NU) GEOGRAPHIC POSITION, LAT/LONG, SECONDS; ;B;CURRENT / CURRENT;2024/001;15;AN
;(NU) GEOGRAPHIC POSITION, GEOREF, MINUTE; ;C;CURRENT / CURRENT;2017/001;8;AN
;(NU) GEOGRAPHIC POSITION, GEOREF, CENTIMINUTE; ;D;CURRENT / CURRENT;2018/001;12;AN
;(NU) GEOGRAPHIC POSITION, UTM 100-METRE; ;E;CURRENT / CURRENT;2087/001;11;AN
;(NU) GEOGRAPHIC POSITION, UTM 10-METRE; ;F;CURRENT / CURRENT;2086/001;13;AN
;(NU) ICAO LOCATION IDENTIFIER; ;G;CURRENT / CURRENT;1125/001;4;AN
;(NU) LOCATION OR POSITION NAME;N;H;CURRENT / CURRENT;1022/006;1-15;X
2 M;(NU) FUEL QUANTITY; ; ;CURRENT / CURRENT;2105/001;4-16;ANS
3 M;(NU) NATO STANDARD FUEL TYPE; ; ;CURRENT / CURRENT;1172/001;3-5;AN
4 O;(NU) NATO STANDARD FUEL TYPE;ALT; ;CURRENT / CURRENT;1172/001;3-5;AN
5 C;(NU) EXPLANATION; ; ;CURRENT / CURRENT;1357/003;1-67;X
