FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) NATO AIRBORNE EARLY WARNING (NAEW) ALLOTMENT PRIORITY;PRI; ;CURRENT / CURRENT;1661/001;2;N
2 M;(NU) NATO AIRBORNE EARLY WARNING (NAEW) MISSION TYPE; ; ;CURRENT / CURRENT;1285/019;2;A
3 M;(NU) NATO AIRBORNE EARLY WARNING (NAEW) ORBIT IDENTIFIER; ;A ;CURRENT / CURRENT;1577/002;2-4;AN
;(NU) NATO AIRBORNE EARLY WARNING (NAEW) NON-STANDARD ORBIT;O;B;CURRENT / CURRENT;1577/003;2;A
4 M;(NU) NATO AIRBORNE EARLY WARNING (NAEW) SUPPORT TYPE; ; ;CURRENT / CURRENT;1572/003;2;A
5 M;(NU) DAY-TIME ON STATION; ;A ;CURRENT / CURRENT;2000/033;7;AN
;(NU) DAY-TIME AND MONTH ON STATION; ;B ;CURRENT / CURRENT;2030/009;10;AN
;(NU) TIME QUALIFIER TO BE DETERMINED; ;C ;CURRENT / CURRENT;1220/010;3;A
6 C;(NU) DAY-TIME OFF STATION; ;A ;CURRENT / CURRENT;2000/035;7;AN
;(NU) DAY-TIME AND MONTH OFF STATION; ;B ;CURRENT / CURRENT;2030/010;10;AN
;(NU) TIME QUALIFIER UNTIL FURTHER NOTICE; ;C ;CURRENT / CURRENT;1220/005;3;A
;(NU) UNKNOWN TIME; ;D ;CURRENT / CURRENT;1220/014;3;A
* 7 M;(NU) TACTICAL CONTROL AUTHORITY; ; ;CURRENT / CURRENT;1028/012;1-20;X
