FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) TARGET ELEMENT DESCRIPTION;TGTEL;A;CURRENT / CURRENT;1363/007;1-20;X
;(NU) EQUIPMENT TYPE;EQPMT;B;CURRENT / CURRENT;1135/001;1-20;X
2 M;(NU) TARGET/EQUIPMENT QUANTITY DESTROYED/DAMAGED;QTY;A;CURRENT / CURRENT;1044/206;1-2;N
;(NU) TARGET/EQUIPMENT PERCENTAGE DAMAGED/DESTROYED;PCT;B;CURRENT / CURRENT;1064/010;1-3;N
3 M;(NU) MISSION RESULTS; ; ;CURRENT / CURRENT;1088/009;3-8;A
4 O;(NU) IMAGERY CONFIRMATION; ; ;CURRENT / CURRENT;1027/007;2-3;A
* 5 O;(NU) WEAPON IMPACT POINT, UTM 10-METRE;UTMT;A;CURRENT / CURRENT;2086/044;13;AN
;(NU) WEAPON IMPACT POINT,LAT/LONG THOUSANDTHS OF MINUTES;LATTM;B;CURRENT / CURRENT;2496/002;19;ANS
* 6 O;(NU) QUANTITY OF ORDNANCE EXPENDED; ; ;CURRENT / CURRENT;1044/225;1-5;N
* 7 O;(NU) ORDNANCE/WEAPON TYPE AIR-TO-SURFACE; ; ;CURRENT / CURRENT;1407/032;3-8;ANS
* 8 O;(NU) ENEMY ACTIVITY TYPE; ; ;CURRENT / CURRENT;1299/009;2-8;A
* 9 C;(NU) ACTIVITY LOCATION, UTM 10-METRE;UTMT;A;CURRENT / CURRENT;2086/041;13;AN
;(NU) ACTIVITY LOCATION,LAT/LONG THOUSANDTHS OF MINUTES;LATTM;B;CURRENT / CURRENT;2496/003;19;ANS
