FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) DAY-TIME OF RENDEZVOUS, VERIFIED; ;A;CURRENT / CURRENT;2013/063;8;AN
;(NU) DTG, VERIFIED; ;B;CURRENT / CURRENT;2034/001;15;AN
;(NU) DATE-TIME MONTH, VERIFIED; ;C;CURRENT / CURRENT;2032/001;11;AN
;(NU) DAY-TIME AND MONTH; ;D;CURRENT / CURRENT;2030/001;10;AN
2 M;(NU) GEOGRAPHIC POSITION, LAT/LONG, MINUTES, VERIFIED; ;A;CURRENT / CURRENT;2043/001;14;ANS
;(NU) GEOGRAPHIC POSITION, LAT/LONG, MINUTES; ;B;CURRENT / CURRENT;2023/001;11;AN
;(NU) RENDEZVOUS POSITION, PLACE NAME;NAME;C;CURRENT / CURRENT;1022/112;1-38;X
;(NU) BEARING AND DISTANCE IN NM FROM REFERENCE POINT; ;D;CURRENT / CURRENT;2307/001;10-27;ANBS
* 3 M;(NU) UNIT BEING JOINED; ;A;CURRENT / CURRENT;1022/113;1-38;X
;(NU) NAVAL TASK DESIGNATOR OF UNIT BEING JOINED;NTD;B;CURRENT / CURRENT;2143/004;3-15;ANS
* 4 M;(NU) UNIT JOINING; ;A;CURRENT / CURRENT;1022/114;1-38;X
;(NU) NAVAL TASK DESIGNATOR OF UNIT JOINING;NTD;B;CURRENT / CURRENT;2143/005;3-15;ANS
* 5 O;(NU) FLIGHT LEVEL; ;A;CURRENT / CURRENT;2129/001;5;AN
;(NU) MARITIME ALTITUDE IN HUNDREDS OF FEET; ;B;CURRENT / CURRENT;2164/001;6;AN
