FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
* 1 M;(NU) DAY-TIME OF POSITION; ;A;CURRENT / CURRENT;2000/018;7;AN
;(NU) TIME AT POSITION (HOUR-MINUTE); ;B;CURRENT / CURRENT;2014/002;4;N
;(NU) DAY-TIME OF POSITION, VERIFIED; ;C;CURRENT / CURRENT;2013/007;8;AN
;(NU) DATE-TIME MONTH AT TRANSIT POINT, VERIFIED; ;D;CURRENT / CURRENT;2032/011;11;AN
* 2 M;(NU) POSITION OR POINT NAME;NAME;A;CURRENT / CURRENT;1022/018;1-20;X
;(NU) GEOGRAPHIC POSITION, LAT/LONG, DEGREES; ;B;CURRENT / CURRENT;2022/001;7;AN
;(NU) GEOGRAPHIC POSITION, LAT/LONG, MINUTES; ;C;CURRENT / CURRENT;2023/001;11;AN
;(NU) GEOGRAPHIC POSITION, LAT/LONG, SECONDS; ;D;CURRENT / CURRENT;2024/001;15;AN
;(NU) GEOGRAPHIC POSITION, LAT/LONG, DEGREES, VERIFIED; ;E;CURRENT / CURRENT;2042/001;10;ANS
;(NU) GEOGRAPHIC POSITION, LAT/LONG, MINUTES, VERIFIED; ;F;CURRENT / CURRENT;2043/001;14;ANS
;(NU) GEOGRAPHIC POSITION, LAT/LONG, SECONDS, VERIFIED; ;G;CURRENT / CURRENT;2044/001;18;ANS
;(NU) GEOGRAPHIC POSITION, UTM 1,000-METRE; ;H;CURRENT / CURRENT;2088/001;9;AN
;(NU) GEOGRAPHIC POSITION, UTM 100-METRE; ;I;CURRENT / CURRENT;2087/001;11;AN
;(NU) GEOGRAPHIC POSITION, UTM 10-METRE; ;J;CURRENT / CURRENT;2086/001;13;AN
;(NU) GEOGRAPHIC POSITION, UTM 1-METRE; ;K;CURRENT / CURRENT;2089/001;15;AN
;(NU) GEOGRAPHIC POSITION, GEOREF, MINUTE; ;L;CURRENT / CURRENT;2017/001;8;AN
;(NU) GEOGRAPHIC POSITION, GEOREF, CENTIMINUTE; ;M;CURRENT / CURRENT;2018/001;12;AN
;(NU) GEOGRAPHIC POSITION, GEOREF, ABBREVIATED, MINUTE; ;N;CURRENT / CURRENT;2019/001;6;AN
;(NU) GEOGRAPHIC POSITION, GEOREF, ABBREVIATED, CENTIMINUTE; ;O;CURRENT / CURRENT;2020/001;10;AN
;(NU) BEARING AND DISTANCE FROM REFERENCE POINT;BEARING;P;CURRENT / CURRENT;2157/001;9-54;ANBS
;(NU) ICAO BASE CODE;ICAO;Q;CURRENT / CURRENT;1125/002;4;AN
* 3 O;(NU) TRACK/ROUTE TYPE; ; ;CURRENT / CURRENT;1372/001;2-3;A
