FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) DATA ENTRY; ; ;CURRENT / CURRENT;1348/001;2;N
2 M;(NU) AIRLIFT ENROUTE LOCATION TYPE; ; ;CURRENT / CURRENT;1284/008;6;A
* 3 M;(NU) GEOGRAPHIC POSITION, LAT/LONG, MINUTES; ;A;CURRENT / CURRENT;2023/001;11;AN
;(NU) GEOGRAPHIC POSITION, LAT/LONG, SECONDS; ;B;CURRENT / CURRENT;2024/001;15;AN
;(NU) GEOGRAPHIC POSITION, GEOREF, MINUTE; ;C;CURRENT / CURRENT;2017/001;8;AN
;(NU) GEOGRAPHIC POSITION, GEOREF, CENTIMINUTE; ;D;CURRENT / CURRENT;2018/001;12;AN
;(NU) GEOGRAPHIC POSITION, UTM 100-METRE; ;E;CURRENT / CURRENT;2087/001;11;AN
;(NU) GEOGRAPHIC POSITION, UTM 10-METRE; ;F;CURRENT / CURRENT;2086/001;13;AN
;(NU) ICAO LOCATION IDENTIFIER; ;G;CURRENT / CURRENT;1125/001;4;AN
;(NU) LOCATION OR POSITION NAME;N;H;CURRENT / CURRENT;1022/006;1-15;X
