FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) DAY-TIME OF ARRIVAL, VERIFIED; ;A;CURRENT / CURRENT;2013/032;8;AN
;(NU) DATE-TIME MONTH OF ARRIVAL, VERIFIED; ;B;CURRENT / CURRENT;2032/006;11;AN
2 M;(NU) GEOGRAPHIC POSITION, LAT/LONG, MINUTES, VERIFIED; ;A;CURRENT / CURRENT;2043/001;14;ANS
;(NU) GEOGRAPHIC POSITION, LAT/LONG, SECONDS, VERIFIED; ;B;CURRENT / CURRENT;2044/001;18;ANS
;(NU) GEOGRAPHIC POSITION, LAT/LONG, 1/10 SECOND, VERIFIED; ;C;CURRENT / CURRENT;2200/001;22;ANS
;(NU) PLACE NAME; ;D;CURRENT / CURRENT;1022/170;1-20;X
;(NU) VERIFIED TRUE BEARING AND DISTANCE FROM REF POINT; ;E;CURRENT / CURRENT;2202/001;11-36;ANBS
;(NU) Q-ROUTE POSITION; ;F;CURRENT / CURRENT;2203/001;7-13;ANS
3 O;(NU) DAY-TIME OF DEPARTURE, VERIFIED; ;A;CURRENT / CURRENT;2013/031;8;AN
;(NU) DATE-TIME MONTH OF DEPARTURE, VERIFIED; ;B;CURRENT / CURRENT;2032/007;11;AN
