FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) DEPARTURE PORT;PORT;A;CURRENT / CURRENT;1022/082;1-20;X
;(NU) DESIGNATED AREA NAME;AREA;B;CURRENT / CURRENT;1022/102;1-20;X
;(NU) MOVEMENT POSITION, LAT/LONG MINUTES; ;C;CURRENT / CURRENT;2023/005;11;ANS
;(NU) DEPARTURE PORT CODE;CODE;D;CURRENT / CURRENT;1182/004;3;A
2 M;(NU) DTG OF DEPARTURE; ; ;CURRENT / CURRENT;2033/006;14;AN
3 M;(NU) ARRIVAL PORT;PORT;A;CURRENT / CURRENT;1022/396;1-20;X
;(NU) DESIGNATED AREA NAME;AREA;B;CURRENT / CURRENT;1022/102;1-20;X
;(NU) MOVEMENT POSITION, LAT/LONG MINUTES; ;C;CURRENT / CURRENT;2023/005;11;ANS
;(NU) ARRIVAL PORT CODE;CODE;D;CURRENT / CURRENT;1182/002;3;A
4 M;(NU) DTG OF ARRIVAL; ; ;CURRENT / CURRENT;2033/007;14;AN
