FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) CIRCUIT TITLE; ; ;CURRENT / CURRENT;1022/142;1-30;X
2 M;(NU) UNIT; ; ;CURRENT / CURRENT;1022/057;1-30;X
3 M;(NU) PRIMARY FREQUENCY; ;A;CURRENT / CURRENT;2064/003;3-14;ANS
;(NU) CIRCUIT LINE NUMBER; ;B;CURRENT / CURRENT;1012/298;3-7;AN
4 M;(NU) UNIT; ; ;CURRENT / CURRENT;1022/057;1-30;X
5 M;(NU) SECONDARY FREQUENCY; ;A;CURRENT / CURRENT;2064/004;3-14;ANS
;(NU) CIRCUIT LINE NUMBER; ;B;CURRENT / CURRENT;1012/298;3-7;AN
6 M;(NU) UNIT; ; ;CURRENT / CURRENT;1022/057;1-30;X
7 M;(NU) SHIP-SHORE FREQUENCY; ;A;CURRENT / CURRENT;2064/014;3-14;ANS
;(NU) CIRCUIT LINE NUMBER; ;B;CURRENT / CURRENT;1012/298;3-7;AN
8 M;(NU) SHIP-SHORE KEYMAT; ; ;CURRENT / CURRENT;1078/006;8-10;AN
