FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) FLAG; ; ;CURRENT / CURRENT;1026/003;2;A
2 M;(NU) SURFACE SHIP TYPE; ; ;CURRENT / CURRENT;1036/007;2-4;A
3 M;(NU) SHIP NAME; ; ;CURRENT / CURRENT;1022/049;1-38;X
4 O;(NU) INTERNATIONAL RADIO CALL SIGN; ; ;CURRENT / CURRENT;1129/003;4-8;AN
5 O;(NU) SHIP LENGTH IN METRES; ; ;CURRENT / CURRENT;1657/002;1-3;N
6 O;(NU) SHIP BEAM IN METRES; ; ;CURRENT / CURRENT;1658/002;1-2;N
7 O;(NU) SHIP DRAFT IN METRES; ; ;CURRENT / CURRENT;1247/005;1-2;N
8 O;(NU) SHIP DISPLACEMENT; ; ;CURRENT / CURRENT;1440/002;1-6;N
9 O;(NU) MINIMUM SPEED IN KNOTS; ; ;CURRENT / CURRENT;1061/005;1-2;N
10 O;(NU) MAXIMUM SPEED IN KNOTS; ; ;CURRENT / CURRENT;1061/006;1-2;N
11 O;(NU) VALUE OF CARGO; ; ;CURRENT / CURRENT;1600/001;3-6;A
12 O;(NU) PRISMATIC COEFFICIENT; ; ;CURRENT / CURRENT;1587/001;4;NS
13 O;(NU) MAGNETIC DEGAUSSING CODE NUMBER; ; ;CURRENT / CURRENT;1012/171;1-4;N
14 O;(NU) MAGNETIC ACOUSTIC MERIT INDEX; ; ;CURRENT / CURRENT;1468/002;1-3;N
