FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) PRIMARY/ALTERNATE TARGET DESIGNATOR; ; ;CURRENT / CURRENT;1076/013;1;A
2 O;(NU) DAY-TIME AND MONTH TASKED ON TARGET;TOT;A;CURRENT / CURRENT;2030/041;10;AN
;(NU) DAY-TIME ON TARGET TO THE SECOND, ZULU;TOTS;B;CURRENT / CURRENT;2483/002;9;AN
3 C;(NU) NOT EARLIER THAN DAY-TIME AND MONTH;NET; ;CURRENT / CURRENT;2030/046;10;AN
4 C;(NU) NOT LATER THAN DAY-TIME;NLT;A;CURRENT / CURRENT;2000/087;7;AN
;(NU) DAY-TIME AND MONTH OFF TARGET;TOF;B;CURRENT / CURRENT;2030/042;10;AN
5 M;(NU) SHIP TARGET IDENTITY; ; ;CURRENT / CURRENT;1416/006;3;A
6 M;(NU) SHIP TYPE CATEGORY; ; ;CURRENT / CURRENT;1036/008;2-5;A
7 O;(NU) SPECIAL HULL NUMBER; ; ;CURRENT / CURRENT;1012/245;1-4;N
8 O;(NU) SHIP NAME, ABBREVIATED; ; ;CURRENT / CURRENT;1022/243;1-30;X
9 M;(NU) TARGET PRIORITY IDENTIFIER; ; ;CURRENT / CURRENT;1076/008;1;N
10 O;(NU) TARGET PRIORITY, LITERAL; ; ;CURRENT / CURRENT;1076/011;1-5;AN
11 O;(NU) TARGET OBJECTIVE; ; ;CURRENT / CURRENT;1456/003;1-15;X
12 M;(NU) DAY-TIME OF POSITION; ; ;CURRENT / CURRENT;2000/018;7;AN
13 M;(NU) GEOGRAPHIC POSITION, LAT/LONG, MINUTES;LATM;A;CURRENT / CURRENT;2023/001;11;AN
;(NU) POSITION, TRUE BEARING AND RANGE IN NM;BAR;B;CURRENT / CURRENT;2281/001;7-28;X
;(NU) LOCATION, DECISECONDS;LATDS;C;CURRENT / CURRENT;2187/001;19;ANS
14 O;(NU) COMPONENT TARGET IDENTIFIER; ; ;CURRENT / CURRENT;1416/005;1-12;X
15 O;(NU) COURSE IN DEGREES, TRUE; ; ;CURRENT / CURRENT;1439/004;3;N
16 O;(NU) SPEED IN KNOTS, DECIMAL PROHIBITED; ; ;CURRENT / CURRENT;1061/016;1-3;N
