FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) TARGET DESCRIPTION; ; ;CURRENT / CURRENT;1363/004;1-20;X
2 M;(NU) TARGET ELEMENT DESCRIPTION;TGTEL;A;CURRENT / CURRENT;1363/007;1-20;X
;(NU) EQUIPMENT TYPE;EQPMT;B;CURRENT / CURRENT;1135/001;1-20;X
3 M;(NU) NUMBER OF TARGET ELEMENTS; ; ;CURRENT / CURRENT;1044/083;1-4;N
4 O;(NU) NATIONALITY; ; ;CURRENT / CURRENT;1026/002;2;A
5 M;(NU) TARGET POSITION, LAT/LONG, MINUTES;LATM;A;CURRENT / CURRENT;2023/043;11;AN
;(NU) TARGET POSITION, LAT/LONG, SECONDS;LATS;B;CURRENT / CURRENT;2024/026;15;AN
;(NU) TARGET POSITION, UTM 1,000-METRE;UTMK;C;CURRENT / CURRENT;2088/024;9;AN
;(NU) TARGET POSITION, UTM 100-METRE;UTMO;D;CURRENT / CURRENT;2087/024;11;AN
;(NU) TRUE BEARING AND DISTANCE IN NM FROM REF PT (ABBREV);BAR;E;CURRENT / CURRENT;2431/001;5-20;X
;(NU) ACTIVITY LOCATION NAME;NAME;F;CURRENT / CURRENT;1022/103;1-20;X
6 M;(NU) ACTIVITY TYPE, LITERAL; ; ;CURRENT / CURRENT;1299/010;1-13;AB
7 M;(NU) DAY-TIME OF POSITION; ; ;CURRENT / CURRENT;2000/018;7;AN
8 O;(NU) TARGET COURSE IN DEGREES;COURSE;A;CURRENT / CURRENT;2065/014;4;AN
;(NU) DIRECTION OF MOVEMENT (COMPASS POINT);DIR;B;CURRENT / CURRENT;1161/001;1-3;A
;(NU) DIRECTION OF MOVEMENT IN DEGREES;DIRMOV;C;CURRENT / CURRENT;1043/009;3;N
9 O;(NU) TARGET SPEED;SPEED;A;CURRENT / CURRENT;2063/002;4-7;ANS
;(NU) APPROXIMATE SPEED;APPXSPD;B;CURRENT / CURRENT;1113/005;3-4;A
