FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) NATO SURFACE CONTACT DESIGNATOR; ;A;CURRENT / CURRENT;2154/001;4;AN
;(NU) NATO SUBMARINE CONTACT DESIGNATOR; ;B;CURRENT / CURRENT;2152/001;4;N
;(NU) NATO SUBMARINE DEPLOYMENT DESIGNATOR; ;C;CURRENT / CURRENT;1214/001;3;N
;(NU) NATO SUBMARINE DEPLOYMENT DESIGNATOR AND 4-DIGIT YEAR; ;D;CURRENT / CURRENT;2040/001;8;NS
;(NU) NATO EXERCISE SURFACE CONTACT DESIGNATOR; ;E;CURRENT / CURRENT;2155/001;5;AN
;(NU) NATO EXERCISE SUBMARINE CONTACT DESIGNATOR; ;F;CURRENT / CURRENT;2153/001;5;AN
;(NU) NATO EXERCISE SUBMARINE DEPLOYMENT DESIGNATOR; ;G;CURRENT / CURRENT;2081/001;4;AN
;(NU) NATO EXERCISE SUB DEPLOYMENT DESIGNATOR AND 4-DIGIT YEAR; ;H;CURRENT / CURRENT;2035/001;9;ANS
;(NU) NATO UNDESIGNATED UNIT; ;I;CURRENT / CURRENT;1028/025;5;A
2 M;(NU) NAVAL SHIP TYPE; ; ;CURRENT / CURRENT;1036/003;2-4;A
3 M;(NU) GEOGRAPHICAL ENTITY; ; ;CURRENT / CURRENT;1026/001;2;A
4 M;(NU) SHIP NAME;SN;A;CURRENT / CURRENT;1022/049;1-38;X
;(NU) NAME OF SHIP CLASS;CL;B;CURRENT / CURRENT;1022/035;1-30;X
;(NU) SUBMARINE CLASS NAME;SUBCL;C;CURRENT / CURRENT;1038/001;3-10;X
;(NU) SUBMARINE CLASS DESIGNATOR; ;D;CURRENT / CURRENT;1338/001;1-7;AS
;(NU) SUBMARINE PROPULSION TYPE;PROPUL;E;CURRENT / CURRENT;1339/001;3-6;ANS
;(NU) CLASS AND PENNANT NUMBER;CP;F;CURRENT / CURRENT;1062/001;1-20;X
5 M;(NU) INCIDENT POSITION, LAT/LONG, MINUTES, VERIFIED; ; ;CURRENT / CURRENT;2043/014;14;ANS
6 M;(NU) DAY-TIME OF INCIDENT, VERIFIED; ;A;CURRENT / CURRENT;2013/013;8;AN
;(NU) DAY-MONTH NAME OF INCIDENT; ;B;CURRENT / CURRENT;2067/012;5;AN
7 M;(NU) STATUS OF ENEMY UNIT; ; ;CURRENT / CURRENT;1236/014;5;A
8 O;(NU) ESTIMATED DAMAGE; ; ;CURRENT / CURRENT;2094/001;4;AN
9 O;(NU) STATUS VALIDITY; ; ;CURRENT / CURRENT;1067/001;3-4;A
