FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) SONOBUOY PATTERN TYPE; ; ;CURRENT / CURRENT;1399/001;3-8;A
2 M;(NU) ROW ORIENTATION, DEGREES TRUE, MAGNETIC, GRID OR RELATIVE; ; ;CURRENT / CURRENT;2257/002;4;AN
3 M;(NU) NUMBER OF SONOBUOYS PER ROW; ; ;CURRENT / CURRENT;1044/194;1-2;N
4 M;(NU) SPACING BETWEEN SONOBUOYS, YD, KYD OR NM; ; ;CURRENT / CURRENT;2434/002;3-8;ANS
5 O;(NU) SPACING BETWEEN SONOBUOY ROWS, YD, KYD OR NM; ; ;CURRENT / CURRENT;2434/003;3-8;ANS
6 O;(NU) NUMBER OF SONOBUOY ROWS; ; ;CURRENT / CURRENT;1044/195;1-2;N
7 O;(NU) NUMBER OF SONOBUOYS IN PATTERN; ; ;CURRENT / CURRENT;1044/196;1-2;N
8 O;(NU) SPACING, MDR; ; ;CURRENT / CURRENT;2267/002;4-7;ANS
9 O;(NU) PROBABILITY OF DETECTION; ; ;CURRENT / CURRENT;1064/011;1-3;N
10 O;(NU) FIRST CZ MINIMUM-MAXIMUM RANGE; ; ;CURRENT / CURRENT;2289/002;5-11;ANS
11 O;(NU) WEDGE ANGLE, DEGREES, (1-180); ;A;CURRENT / CURRENT;2293/002;4-6;AN
;(NU) DIRECTION OF WALK, DEGREES TRUE; ;B;CURRENT / CURRENT;2253/006;4;AN
