FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) NUMBER OF SORTIES, 0-9999; ; ;CURRENT / CURRENT;1044/032;1-4;N
2 M;(NU) UNIT; ;A;CURRENT / CURRENT;1022/057;1-30;X
;(NU) ICAO BASE CODE;ICAO;B;CURRENT / CURRENT;1125/002;4;AN
;(NU) BASE NAME;BASE;C;CURRENT / CURRENT;1022/104;1-20;X
3 O;(NU) NATO AIRCRAFT NUMBER AND TYPE; ; ;CURRENT / CURRENT;2160/001;4-9;ANS
4 M;(NU) CALL SIGN; ; ;CURRENT / CURRENT;1129/001;1-38;X
5 O;(NU) AIRCRAFT WEAPON LOAD; ; ;CURRENT / CURRENT;1514/001;1-38;X
6 M;(NU) DATE-TIME MONTH OF START, VERIFIED; ;A;CURRENT / CURRENT;2032/003;11;AN
;(NU) DAY-TIME OF START, VERIFIED; ;B;CURRENT / CURRENT;2013/008;8;AN
;(NU) DAY-TIME AND MONTH OF START; ;C;CURRENT / CURRENT;2030/003;10;AN
7 M;(NU) DATE-TIME MONTH OF STOP, VERIFIED; ;A;CURRENT / CURRENT;2032/004;11;AN
;(NU) DAY-TIME OF STOP, VERIFIED; ;B;CURRENT / CURRENT;2013/009;8;AN
;(NU) DAY-TIME AND MONTH OF STOP; ;C;CURRENT / CURRENT;2030/004;10;AN
8 M;(NU) AIR SUPPORT MISSION TYPE NUMERIC CODE; ;A;CURRENT / CURRENT;1317/004;2;N
;(NU) AIRCRAFT TASK OR MISSION; ;B;CURRENT / CURRENT;1285/009;2-10;AB
9 M;(NU) FREQUENCY DESIGNATOR; ;A;CURRENT / CURRENT;1396/001;1-8;AN
;(NU) MARITIME COMMUNICATIONS PRIMARY CHANNEL NUMBER; ;B;CURRENT / CURRENT;2080/002;3-5;AN
10 M;(NU) FREQUENCY DESIGNATOR; ;A;CURRENT / CURRENT;1396/001;1-8;AN
;(NU) MARITIME COMMUNICATIONS ALTERNATE CHANNEL NUMBER; ;B;CURRENT / CURRENT;2080/003;3-5;AN
11 M;(NU) TYPE OF AIRCRAFT CONTROL; ; ;CURRENT / CURRENT;1395/002;5-18;ABS
