FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) CONTACT SERIAL NUMBER; ; ;CURRENT / CURRENT;1012/067;1-3;N
2 M;(NU) UNIT; ;A;CURRENT / CURRENT;1022/057;1-30;X
;(NU) TRADEMARK;TM;B;CURRENT / CURRENT;1416/003;1-30;X
3 M;(NU) LOCATING REPORT NUMBER; ;A;CURRENT / CURRENT;2296/001;3-4;AN
;(NU) NOT REPORTED IN FLIGHT; ;B;CURRENT / CURRENT;1449/001;4;A
4 M;(NU) SUBMARINE CLASSIFICATION/CONFIDENCE LEVEL; ; ;CURRENT / CURRENT;1123/005;4-6;AN
5 M;(NU) FLAG; ; ;CURRENT / CURRENT;1026/003;2;A
6 M;(NU) SUBMARINE PROPULSION TYPE; ; ;CURRENT / CURRENT;1339/002;3;A
7 O;(NU) SUBMARINE TYPE; ;A;CURRENT / CURRENT;1036/002;2-4;A
;(NU) SUBMARINE CLASS NAME; ;B;CURRENT / CURRENT;1038/001;3-10;X
8 O;(NU) CREDIBILITY; ; ;CURRENT / CURRENT;1461/001;3-4;A
9 O;(NU) CONTACT PHOTO STATUS; ; ;CURRENT / CURRENT;1450/001;3;A
10 O;(NU) SHIP CONTROL NUMBER; ; ;CURRENT / CURRENT;2282/001;6;AN
11 O;(NU) NATO SUBMARINE CONTACT DESIGNATOR;SUB;A;CURRENT / CURRENT;2152/001;4;N
;(NU) DISCRETE IDENTIFIER; ;B;CURRENT / CURRENT;1625/025;4;N
