FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) TITLE; ; ;CURRENT / CURRENT;1356/001;1-54;X
2 M;(NU) GEOGRAPHICAL ENTITY; ;A;CURRENT / CURRENT;1026/001;2;A
;(NU) STATE/PROVINCE/DISTRICT; ;B;CURRENT / CURRENT;1711/002;4;AN
3 M;(NU) PLACE NAME; ; ;CURRENT / CURRENT;1022/261;1-54;X
4 M;(NU) GEOGRAPHIC POSITION, LAT/LONG, DEGREES; ;A;CURRENT / CURRENT;2022/001;7;AN
;(NU) GEOGRAPHIC POSITION, LAT/LONG, MINUTES; ;B;CURRENT / CURRENT;2023/001;11;AN
;(NU) GEOGRAPHIC POSITION, LAT/LONG, SECONDS; ;C;CURRENT / CURRENT;2024/001;15;AN
;(NU) GEOGRAPHIC POSITION, UTM 1,000-METRE; ;D;CURRENT / CURRENT;2088/001;9;AN
;(NU) GEOGRAPHIC POSITION, UTM 100-METRE; ;E;CURRENT / CURRENT;2087/001;11;AN
;(NU) GEOGRAPHIC POSITION, UTM 10-METRE; ;F;CURRENT / CURRENT;2086/001;13;AN
;(NU) GEOGRAPHIC POSITION, UTM 1-METRE; ;G;CURRENT / CURRENT;2089/001;15;AN
;(NU) BEARING AND DISTANCE FROM REFERENCE POINT; ;H;CURRENT / CURRENT;2157/001;9-54;ANBS
;(NU) TRUE BEARING AND DISTANCE IN NM FROM REFERENCE POINT; ;I;CURRENT / CURRENT;2016/001;6-46;X
5 O;(NU) GEODETIC DATUM; ; ;CURRENT / CURRENT;1195/001;3-25;X
6 M;(NU) START DATE, YYYYMMDD; ;A;CURRENT / CURRENT;2053/004;8;N
;(NU) START DATE-TIME, YYYYMMDDHHMM; ;B;CURRENT / CURRENT;2416/003;12;N
;(NU) DTG OF START; ;C;CURRENT / CURRENT;2033/029;14;AN
7 M;(NU) END DATE, YYYYMMDD; ;A;CURRENT / CURRENT;2053/005;8;N
;(NU) END DATE-TIME, YYYYMMDDHHMM; ;B;CURRENT / CURRENT;2416/004;12;N
;(NU) DTG OF STOP; ;C;CURRENT / CURRENT;2033/030;14;AN
