FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) PHONETIC ALPHABETIC OR NUMERIC IDENTIFIER; ;A;CURRENT / CURRENT;1128/007;3-8;A
;(NU) PHONETIC ALPHABETIC-NUMERIC IDENTIFIER; ;B;CURRENT / CURRENT;2406/001;8-14;AB
;(NU) PHONETIC IDENTIFIER; ;C;CURRENT / CURRENT;2407/001;8-14;AB
;(NU) DUAL SUBMARINE TRACK IDENTIFIERS; ;D;CURRENT / CURRENT;2198/001;5-7;AS
2 M;(NU) RECTANGULAR MOVING HAVEN DIMENSIONS, NM, VERIFIED; ;A;CURRENT / CURRENT;2199/001;8-13;AN
;(NU) NON-DISCRETE INDICATOR, AS REQUIRED; ;B;CURRENT / CURRENT;1084/002;7;AB
3 M;(NU) SPEED OF ADVANCE (SOA), KNOTS, VERIFIED; ;A;CURRENT / CURRENT;2332/005;5-8;ANS
;(NU) NON-DISCRETE INDICATOR, AS REQUIRED; ;B;CURRENT / CURRENT;1084/002;7;AB
4 M;(NU) SUBMARINE TRACK TYPE; ;A;CURRENT / CURRENT;1372/002;2-3;A
;(NU) NON-DISCRETE INDICATOR, AS REQUIRED; ;B;CURRENT / CURRENT;1084/002;7;AB
