FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) BASE NAME;BASE;A;CURRENT / CURRENT;1022/104;1-20;X
;(NU) UNIT; ;B;CURRENT / CURRENT;1022/057;1-30;X
2 M;(NU) ANTI-AIR WARFARE CALL SIGN; ; ;CURRENT / CURRENT;1129/008;1-2;A
3 M;(NU) GEOGRAPHIC POSITION, LAT/LONG, MINUTES; ;A;CURRENT / CURRENT;2023/001;11;AN
;(NU) STATION ASSIGNMENT NAME;NAME;B;CURRENT / CURRENT;1022/124;1-8;AN
;(NU) STATION, UTM 10-METRE; ;C;CURRENT / CURRENT;2086/006;13;AN
;(NU) GEOGRAPHIC POSITION, GEOREF, CENTIMINUTE; ;D;CURRENT / CURRENT;2018/001;12;AN
;(NU) BEARING AND DISTANCE IN NM FROM REFERENCE POINT; ;E;CURRENT / CURRENT;2307/001;10-27;ANBS
4 O;(NU) DATA LINK TRACK NUMBER BLOCK, LOWER LIMIT; ; ;CURRENT / CURRENT;1625/002;4-5;AN
5 O;(NU) DATA LINK TRACK NUMBER BLOCK, UPPER LIMIT; ; ;CURRENT / CURRENT;1625/003;4-5;AN
