FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) ON-STATION CONTACT; ; ;CURRENT / CURRENT;1470/002;2-6;A
2 M;(NU) INITIAL CONTACT; ; ;CURRENT / CURRENT;1470/003;2-6;A
3 M;(NU) BEST CONTACT; ; ;CURRENT / CURRENT;1470/004;2-6;A
4 M;(NU) OFF-STATION CONTACT; ; ;CURRENT / CURRENT;1470/005;2-6;A
5 M;(NU) INITIAL SEARCH AREA; ; ;CURRENT / CURRENT;1398/001;1;A
6 O;(NU) DAY-TIME OF SWAP, VERIFIED; ;A;CURRENT / CURRENT;2013/044;8;AN
;(NU) DAY-TIME OF SWAP; ;B;CURRENT / CURRENT;2000/049;7;AN
7 O;(NU) ORIGIN, LAT/LONG, MINUTES, VERIFIED; ;A;CURRENT / CURRENT;2043/011;14;ANS
;(NU) BEARING ORIGIN, LAT/LONG, MINUTES; ;B;CURRENT / CURRENT;2023/002;11;AN
8 O;(NU) BEARING, DEGREES TRUE; ;A;CURRENT / CURRENT;2253/001;4;AN
;(NU) SEMI-MAJOR AXIS ORIENTATION, DEGREES TRUE;AXIS;B;CURRENT / CURRENT;2256/002;4;AN
9 O;(NU) SEMI-MAJOR AXIS LENGTH, NAUTICAL MILES;AXIS;A;CURRENT / CURRENT;2280/002;3-6;AN
;(NU) RADIUS, NAUTICAL MILES; ;B;CURRENT / CURRENT;2276/001;3-6;AN
10 O;(NU) SEMI-MINOR AXIS LENGTH, NAUTICAL MILES;AXIS;A;CURRENT / CURRENT;2280/003;3-6;AN
;(NU) BEARING ERROR; ;B;CURRENT / CURRENT;1391/001;1-3;NS
;(NU) SECTOR HALF-WIDTH DISTANCE, NAUTICAL MILES; ;C;CURRENT / CURRENT;2280/004;3-6;AN
