FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) CIRCUIT TITLE; ; ;CURRENT / CURRENT;1022/142;1-30;X
2 M;(NU) UNIT; ;A;CURRENT / CURRENT;1022/057;1-30;X
;(NU) NAVAL TASK DESIGNATOR;NTD;B;CURRENT / CURRENT;2143/002;3-15;ANS
3 M;(NU) COMMUNICATIONS CIRCUIT DESIGNATOR; ;A;CURRENT / CURRENT;1305/002;5-8;AN
;(NU) COMMUNICATION LINE NUMBER;LINE;B;CURRENT / CURRENT;1012/116;3-7;AN
;(NU) RADIO FREQUENCY; ;C;CURRENT / CURRENT;2064/001;3-14;ANS
4 M;(NU) DAY-TIME OF START, VERIFIED; ;A;CURRENT / CURRENT;2013/008;8;AN
;(NU) DATE-TIME MONTH OF START, VERIFIED; ;B;CURRENT / CURRENT;2032/003;11;AN
5 M;(NU) NET CONTROL STATION NAME; ; ;CURRENT / CURRENT;1022/147;1-38;X
6 M;(NU) PRIMARY BROADCAST KEYMAT; ; ;CURRENT / CURRENT;1078/002;8-10;AN
7 M;(NU) DAY-TIME OF ZERO START, VERIFIED; ; ;CURRENT / CURRENT;2013/025;8;AN
