FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) TARGET LOCATION TYPE; ; ;CURRENT / CURRENT;1284/010;4-8;A
2 M;(NU) AREA NAME;N;A;CURRENT / CURRENT;1022/069;1-38;X
;(NU) TARGET POSITION, LAT/LONG, MINUTES; ;B;CURRENT / CURRENT;2023/043;11;AN
;(NU) TARGET POSITION, LAT/LONG, SECONDS; ;C;CURRENT / CURRENT;2024/026;15;AN
;(NU) TARGET POSITION, UTM 100-METRE; ;D;CURRENT / CURRENT;2087/024;11;AN
;(NU) GEOGRAPHIC POSITION, UTM 10-METRE; ;E;CURRENT / CURRENT;2086/001;13;AN
3 C;(NU) TARGET RADIUS, M, KM, NM;RAD;A;CURRENT / CURRENT;2118/002;2-7;ANS
;(NU) TARGET WIDTH, M, KM, NM;WDTH;B;CURRENT / CURRENT;2123/002;2-7;ANS
;(NU) ELLIPTICAL TARGET AREA;ELP;C;CURRENT / CURRENT;2180/002;11-23;ANS
* 4 C;(NU) TARGET POSITION, LAT/LONG, MINUTES; ;A;CURRENT / CURRENT;2023/043;11;AN
;(NU) TARGET POSITION, LAT/LONG, SECONDS; ;B;CURRENT / CURRENT;2024/026;15;AN
;(NU) TARGET POSITION, UTM 100-METRE; ;C;CURRENT / CURRENT;2087/024;11;AN
;(NU) GEOGRAPHIC POSITION, UTM 10-METRE; ;D;CURRENT / CURRENT;2086/001;13;AN
