FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 O;(NU) LENGTH IN METRES, 1-9999; ; ;CURRENT / CURRENT;1657/005;1-4;N
2 O;(NU) WIDTH IN METRES, 1-9999; ; ;CURRENT / CURRENT;1658/003;1-4;N
3 O;(NU) HEIGHT IN METRES, 0-999; ; ;CURRENT / CURRENT;1651/006;1-3;N
4 C;(NU) DEPTH IN METRES, 1-999; ; ;CURRENT / CURRENT;1247/006;1-3;N
5 C;(NU) DIAMETER IN METRES; ; ;CURRENT / CURRENT;1679/001;1-4;N
6 O;(NU) STORAGE CAPACITY IN METRIC TONS; ;A;CURRENT / CURRENT;1050/007;1-5;N
;(NU) STORAGE CAPACITY IN CUBIC METRES;M3;B;CURRENT / CURRENT;1063/003;1-9;N
7 O;(NU) TARGET MATERIAL TYPE; ; ;CURRENT / CURRENT;1592/004;2-10;AB
8 O;(NU) TARGET SHAPE; ; ;CURRENT / CURRENT;1259/005;2-11;ABS
* 9 O;(NU) TARGET PROTECTION; ; ;CURRENT / CURRENT;1424/003;2-11;AS
