FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) TARGET DESCRIPTION; ; ;CURRENT / CURRENT;1363/004;1-20;X
2 O;(NU) TARGET NAME; ; ;CURRENT / CURRENT;1022/097;1-54;X
3 O;(NU) GEOGRAPHICAL ENTITY; ; ;CURRENT / CURRENT;1026/001;2;A
4 M;(NU) TARGET POSITION IDENTIFIER;POSNID;A;CURRENT / CURRENT;1416/002;1-20;X
;(NU) BASIC ENCYCLOPEDIA NUMBER;BEN;B;CURRENT / CURRENT;2002/001;10;ANS
;(NU) ABCA TARGET NUMBER;ABCA;C;CURRENT / CURRENT;2120/001;7;AN
5 O;(NU) TARGET AREA DESCRIPTION; ; ;CURRENT / CURRENT;1363/006;1-20;X
6 O;(NU) TRUE BEARING AND DISTANCE IN NM FROM REF PT (ABBREV);BAR;A;CURRENT / CURRENT;2431/001;5-20;X
;(NU) TARGET POSITION, LAT/LONG, MINUTES;LATM;B;CURRENT / CURRENT;2023/043;11;AN
;(NU) TARGET POSITION, LAT/LONG, SECONDS;LATS;C;CURRENT / CURRENT;2024/026;15;AN
;(NU) GEOGRAPHIC POSITION, GEOREF, ABBREVIATED, MINUTE;AGEOREFM;D;CURRENT / CURRENT;2019/001;6;AN
;(NU) GEOGRAPHIC POSITION, GEOREF, MINUTE;GEOREFM;E;CURRENT / CURRENT;2017/001;8;AN
;(NU) GEOGRAPHIC POSITION, GEOREF, ABBREVIATED, CENTIMINUTE;AGEOREFC;F;CURRENT / CURRENT;2020/001;10;AN
;(NU) GEOGRAPHIC POSITION, GEOREF, CENTIMINUTE;GEOREFC;G;CURRENT / CURRENT;2018/001;12;AN
;(NU) TARGET POSITION, UTM 1,000-METRE;UTMK;H;CURRENT / CURRENT;2088/024;9;AN
;(NU) TARGET POSITION, UTM 100-METRE;UTMO;I;CURRENT / CURRENT;2087/024;11;AN
;(NU) GEOGRAPHIC POSITION, UTM 10-METRE;UTMT;J;CURRENT / CURRENT;2086/001;13;AN
;(NU) GEOGRAPHIC POSITION, UTM 1-METRE;UTM;K;CURRENT / CURRENT;2089/001;15;AN
7 O;(NU) DAY-TIME OF POSITION; ; ;CURRENT / CURRENT;2000/018;7;AN
8 O;(NU) TARGET COURSE IN DEGREES;COURSE;A;CURRENT / CURRENT;2065/014;4;AN
;(NU) DIRECTION OF MOVEMENT (COMPASS POINT);DIR;B;CURRENT / CURRENT;1161/001;1-3;A
;(NU) DIRECTION OF MOVEMENT IN DEGREES;DIRMOV;C;CURRENT / CURRENT;1043/009;3;N
9 O;(NU) TARGET SPEED;SPEED;A;CURRENT / CURRENT;2063/002;4-7;ANS
;(NU) APPROXIMATE SPEED;APPXSPD;B;CURRENT / CURRENT;1113/005;3-4;A
