FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 O;(NU) TARGET COURSE IN DEGREES; ;A;CURRENT / CURRENT;2065/014;4;AN
;(NU) DIRECTION OF MOVEMENT (COMPASS POINT); ;B;CURRENT / CURRENT;1161/001;1-3;A
2 O;(NU) SPEED QUALIFIER; ; ;CURRENT / CURRENT;1672/001;3-4;A
3 O;(NU) DESCRIPTION OF MOVEMENT PATTERN; ; ;CURRENT / CURRENT;1363/038;1-20;X
4 O;(NU) DESCRIPTION OF CAMOUFLAGE EMPLOYED; ; ;CURRENT / CURRENT;1363/036;1-20;X
5 O;(NU) DESCRIPTION OF DECEPTION EMPLOYED; ; ;CURRENT / CURRENT;1363/037;1-20;X
6 O;(NU) TYPE OF CONCEALMENT; ; ;CURRENT / CURRENT;1668/003;1-30;X
7 O;(NU) DEGREE OF TARGET MASKING; ; ;CURRENT / CURRENT;1668/004;1;A
8 O;(NU) KEYPOINT QUALITY INDICATOR; ; ;CURRENT / CURRENT;1027/054;2-3;A
* 9 O;(NU) QUANTITY EQUIPMENT LOADED; ;A;CURRENT / CURRENT;2413/001;3-25;X
;(NU) QUANTITY/UNIT - MATERIAL LOADED;MAT;B;CURRENT / CURRENT;2414/001;4-38;ANBS
