FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) DAY-TIME OF POSITION, VERIFIED; ;A;CURRENT / CURRENT;2013/007;8;AN
;(NU) DAY-TIME OF POSITION; ;B;CURRENT / CURRENT;2000/018;7;AN
2 M;(NU) GEOGRAPHIC POSITION, LAT/LONG, MINUTES, VERIFIED; ;A;CURRENT / CURRENT;2043/001;14;ANS
;(NU) GEOGRAPHIC POSITION, LAT/LONG, MINUTES; ;B;CURRENT / CURRENT;2023/001;11;AN
3 M;(NU) CONTACT COURSE, DEGREES TRUE; ; ;CURRENT / CURRENT;2258/002;4;AN
4 M;(NU) CONTACT SPEED, KNOTS; ; ;CURRENT / CURRENT;2265/002;4-7;ANS
5 M;(NU) ASW MISSION EVENT; ; ;CURRENT / CURRENT;1224/003;4-7;AS
6 M;(NU) SENSOR PLATFORM; ; ;CURRENT / CURRENT;1473/002;3-4;A
7 M;(NU) ACOUSTIC SENSOR; ; ;CURRENT / CURRENT;1434/005;2-6;AN
8 O;(NU) ACOUSTIC INFORMATION SOURCE; ; ;CURRENT / CURRENT;1474/001;2-7;A
9 O;(NU) NUMBER OF DETECTING SENSORS; ; ;CURRENT / CURRENT;1044/120;1-2;N
10 O;(NU) NAVIGATION ACCURACY, YARDS, METRES OR NAUTICAL MILES; ; ;CURRENT / CURRENT;2284/002;2-6;ANS
11 O;(NU) ALPHAMONTH-YEAR; ; ;CURRENT / CURRENT;2556/001;7;AN
