FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) GEODETIC DATUM; ; ;CURRENT / CURRENT;1195/001;3-25;X
2 M;(NU) GEOGRAPHIC POSITION, LAT/LONG, SECONDS, VERIFIED; ;A;CURRENT / CURRENT;2044/001;18;ANS
;(NU) GEOGRAPHIC POSITION, LAT/LONG, 1/10 SECOND, VERIFIED; ;B;CURRENT / CURRENT;2200/001;22;ANS
;(NU) GEOGRAPHIC POSITION, LAT/LONG, 1/1000 MINUTE, VERIFIED; ;C;CURRENT / CURRENT;2201/001;22;ANS
;(NU) PLACE NAME;N;D;CURRENT / CURRENT;1022/170;1-20;X
;(NU) VERIFIED TRUE BEARING AND DISTANCE FROM REF POINT; ;E;CURRENT / CURRENT;2202/001;11-36;ANBS
;(NU) Q-ROUTE POSITION;POSIT;F;CURRENT / CURRENT;2203/001;7-13;ANS
;(NU) GEOGRAPHIC POSITION, UTM 1,000-METRE; ;G;CURRENT / CURRENT;2088/001;9;AN
;(NU) GEOGRAPHIC POSITION, UTM 100-METRE; ;H;CURRENT / CURRENT;2087/001;11;AN
;(NU) GEOGRAPHIC POSITION, UTM 10-METRE; ;I;CURRENT / CURRENT;2086/001;13;AN
;(NU) GEOGRAPHIC POSITION, UTM 1-METRE; ;J;CURRENT / CURRENT;2089/001;15;AN
;(NU) GEOGRAPHIC POSITION, GEOREF, ABBREVIATED, MINUTE; ;K;CURRENT / CURRENT;2019/001;6;AN
;(NU) GEOGRAPHIC POSITION, GEOREF, MINUTE; ;L;CURRENT / CURRENT;2017/001;8;AN
;(NU) GEOGRAPHIC POSITION, GEOREF, ABBREVIATED, CENTIMINUTE; ;M;CURRENT / CURRENT;2020/001;10;AN
;(NU) GEOGRAPHIC POSITION, GEOREF, CENTIMINUTE; ;N;CURRENT / CURRENT;2018/001;12;AN
3 O;(NU) DAY-TIME OF OBSERVATION, VERIFIED; ; ;CURRENT / CURRENT;2013/049;8;AN
4 O;(NU) THERMAL LAYER DEPTH, METRES, VERIFIED; ; ;CURRENT / CURRENT;2241/002;3-6;AN
5 O;(NU) TIDAL STREAM COURSE AND SPEED, WITH DECIMAL PLACES, VERIFIED; ; ;CURRENT / CURRENT;2205/002;11-16;ANS
6 O;(NU) BOTTOM COMPOSITION; ; ;CURRENT / CURRENT;1423/002;3-7;AB
7 O;(NU) BOTTOM TYPE; ; ;CURRENT / CURRENT;1423/003;1-2;A
8 O;(NU) MINELIKE ECHO CODE VALUE; ; ;CURRENT / CURRENT;1588/002;1;N
9 O;(NU) NOMBOS CODE VALUE; ; ;CURRENT / CURRENT;1588/003;1;N
10 O;(NU) REVERBERATION LEVEL; ;A;CURRENT / CURRENT;1157/001;2-3;A
;(NU) NOISE LEVEL IN DECIBELS; ;B;CURRENT / CURRENT;1452/001;1-3;N
11 O;(NU) UNDERWATER SOUND VELOCITY, METRES PER SECOND, VERIFIED; ; ;CURRENT / CURRENT;2239/002;5-8;AN
12 O;(NU) THERMAL LAYER DEPTH, METRES, VERIFIED; ; ;CURRENT / CURRENT;2241/002;3-6;AN
13 O;(NU) UNDERWATER VISIBILITY, YARDS OR METRES, VERIFIED; ; ;CURRENT / CURRENT;2240/001;3-5;AN
14 O;(NU) SAND RIDGE HEIGHT IN METRES; ; ;CURRENT / CURRENT;1093/003;3;NS
15 O;(NU) PERCENTAGE OF MINE BURIED; ; ;CURRENT / CURRENT;1064/020;1-3;N
16 O;(NU) SINGLE ARM THRUST RESULT CODE; ;A;CURRENT / CURRENT;1184/002;1;A
;(NU) DEPTH OF PENETRATION OF ARM THRUSTS IN CENTIMETRES; ;B;CURRENT / CURRENT;1247/010;1-2;N
17 O;(NU) BOTTOM CURRENT IN KNOTS; ; ;CURRENT / CURRENT;1061/012;3;NS
